TITLE     = "Surface"
VARIABLES = "X"
"cp"
ZONE T="Slice: Y=0.518333"
 STRANDID=2, SOLUTIONTIME=664.516175
 I=797, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.000000000E+00 2.185174674E-01
 9.950670004E-01 2.143336535E-01
 9.949748516E-01 2.142550200E-01
 9.900419116E-01 1.981070191E-01
 9.899497628E-01 1.978054792E-01
 9.850167632E-01 1.853125840E-01
 9.849246144E-01 1.850794852E-01
 9.799916744E-01 1.742172688E-01
 9.798995256E-01 1.740141958E-01
 9.749665260E-01 1.639803797E-01
 9.748743773E-01 1.637931168E-01
 9.699413776E-01 1.543392092E-01
 9.698492289E-01 1.541624069E-01
 9.649162889E-01 1.453179121E-01
 9.648241401E-01 1.451527178E-01
 9.598911405E-01 1.366581619E-01
 9.597989917E-01 1.364994496E-01
 9.548659921E-01 1.284394115E-01
 9.547738433E-01 1.282887459E-01
 9.498409033E-01 1.205524504E-01
 9.497487545E-01 1.204079539E-01
 9.448157549E-01 1.128852442E-01
 9.447236061E-01 1.127444804E-01
 9.397906661E-01 1.054297611E-01
 9.396985173E-01 1.052932218E-01
 9.347655177E-01 9.833849221E-02
 9.346733689E-01 9.820831567E-02
 9.297403693E-01 9.133250266E-02
 9.296482205E-01 9.120420367E-02
 9.247152805E-01 8.441015333E-02
 9.246231318E-01 8.428288251E-02
 9.196901321E-01 7.790270448E-02
 9.195979834E-01 7.778363675E-02
 9.146649837E-01 7.150026411E-02
 9.145728350E-01 7.138266414E-02
 9.096398950E-01 6.527475268E-02
 9.095477462E-01 6.516066939E-02
 9.046147466E-01 5.934591964E-02
 9.045225978E-01 5.923720449E-02
 8.995896578E-01 5.343857780E-02
 8.994975090E-01 5.333013833E-02
 8.945645094E-01 4.772030935E-02
 8.944723606E-01 4.761544615E-02
 8.895393610E-01 4.217517748E-02
 8.894472122E-01 4.207335785E-02
 8.845142722E-01 3.656300902E-02
 8.844221234E-01 3.646004200E-02
 8.794891238E-01 3.123416007E-02
 8.793969750E-01 3.113636188E-02
 8.744640350E-01 2.597089298E-02
 8.743718863E-01 2.587436885E-02
 8.694388866E-01 2.072374709E-02
 8.693467379E-01 2.062739804E-02
 8.644137383E-01 1.572667994E-02
 8.643215895E-01 1.563503221E-02
 8.593886495E-01 1.077579893E-02
 8.592965007E-01 1.068486832E-02
 8.543635011E-01 5.853138864E-03
 8.542713523E-01 5.762844812E-03
 8.493383527E-01 1.204218715E-03
 8.492462039E-01 1.118899323E-03
 8.443132639E-01 -3.679779125E-03
 8.442211151E-01 -3.769527655E-03
 8.392881155E-01 -8.437365294E-03
 8.391959667E-01 -8.524703793E-03
 8.342630267E-01 -1.300025638E-02
 8.341708779E-01 -1.308398042E-02
 8.292378783E-01 -1.776750199E-02
 8.291457295E-01 -1.785512455E-02
 8.242127299E-01 -2.216026373E-02
 8.241205812E-01 -2.224066667E-02
 8.191876411E-01 -2.653842233E-02
 8.190954924E-01 -2.661883458E-02
 8.141624928E-01 -3.085586242E-02
 8.140703440E-01 -3.093528189E-02
 8.091374040E-01 -3.494798020E-02
 8.090452552E-01 -3.502292931E-02
 8.041122556E-01 -3.924220800E-02
 8.040201068E-01 -3.932146356E-02
 7.990871072E-01 -4.366660118E-02
 7.989949584E-01 -4.374754056E-02
 7.940620184E-01 -4.789082706E-02
 7.939698696E-01 -4.796857759E-02
 7.890368700E-01 -5.192011967E-02
 7.889447212E-01 -5.199379474E-02
 7.840117216E-01 -5.607374012E-02
 7.839195728E-01 -5.615039170E-02
 7.789866328E-01 -6.020413712E-02
 7.788944840E-01 -6.027971581E-02
 7.739614844E-01 -6.437940150E-02
 7.738693357E-01 -6.445624679E-02
 7.689363956E-01 -6.850493699E-02
 7.688442469E-01 -6.858056039E-02
 7.639112473E-01 -7.225312293E-02
 7.638190985E-01 -7.232187688E-02
 7.588860989E-01 -7.634654641E-02
 7.587939501E-01 -7.642208040E-02
 7.538610101E-01 -8.051372319E-02
 7.537688613E-01 -8.058995754E-02
 7.488358617E-01 -8.448161185E-02
 7.487437129E-01 -8.455476165E-02
 7.438107133E-01 -8.840724081E-02
 7.437185645E-01 -8.847903460E-02
 7.387856245E-01 -9.244005382E-02
 7.386934757E-01 -9.251445532E-02
 7.337604761E-01 -9.631394595E-02
 7.336683273E-01 -9.638489038E-02
 7.287353873E-01 -1.002681330E-01
 7.286432385E-01 -1.003408059E-01
 7.237102389E-01 -1.041100696E-01
 7.236180902E-01 -1.041807309E-01
 7.186850905E-01 -1.079125702E-01
 7.185929418E-01 -1.079821810E-01
 7.136600018E-01 -1.118364483E-01
 7.135678530E-01 -1.119089574E-01
 7.086348534E-01 -1.158902496E-01
 7.085427046E-01 -1.159643009E-01
 7.036097646E-01 -1.199148744E-01
 7.035176158E-01 -1.199890226E-01
 6.985846162E-01 -1.238819808E-01
 6.984924674E-01 -1.239548773E-01
 6.935594678E-01 -1.277914196E-01
 6.934673190E-01 -1.278630495E-01
 6.885343790E-01 -1.315589696E-01
 6.884422302E-01 -1.316283941E-01
 6.835092306E-01 -1.355426013E-01
 6.834170818E-01 -1.356155425E-01
 6.784840822E-01 -1.393829584E-01
 6.783919334E-01 -1.394535452E-01
 6.734589934E-01 -1.434600353E-01
 6.733668447E-01 -1.435351372E-01
 6.684338450E-01 -1.475403905E-01
 6.683416963E-01 -1.476150453E-01
 6.634087563E-01 -1.515005976E-01
 6.633166075E-01 -1.515737176E-01
 6.583836079E-01 -1.555468738E-01
 6.582914591E-01 -1.556209326E-01
 6.533584595E-01 -1.596428454E-01
 6.532663107E-01 -1.597180367E-01
 6.483333707E-01 -1.634996980E-01
 6.482412219E-01 -1.635706574E-01
 6.433082223E-01 -1.676538438E-01
 6.432160735E-01 -1.677299887E-01
 6.382830739E-01 -1.716707200E-01
 6.381909251E-01 -1.717446148E-01
 6.332579851E-01 -1.757231206E-01
 6.331658363E-01 -1.757976264E-01
 6.282328367E-01 -1.797890216E-01
 6.281406879E-01 -1.798634529E-01
 6.232077479E-01 -1.839300096E-01
 6.231155992E-01 -1.840063930E-01
 6.181825995E-01 -1.881205887E-01
 6.180904508E-01 -1.881974190E-01
 6.131574512E-01 -1.923539937E-01
 6.130653024E-01 -1.924316287E-01
 6.081323624E-01 -1.966099143E-01
 6.080402136E-01 -1.966883838E-01
 6.031072140E-01 -2.007752806E-01
 6.030150652E-01 -2.008513808E-01
 5.980821252E-01 -2.049389333E-01
 5.979899764E-01 -2.050155252E-01
 5.930569768E-01 -2.091084719E-01
 5.929648280E-01 -2.091853023E-01
 5.880318284E-01 -2.135679424E-01
 5.879396796E-01 -2.136495411E-01
 5.830067396E-01 -2.179650664E-01
 5.829145908E-01 -2.180458605E-01
 5.779815912E-01 -2.222758234E-01
 5.778894424E-01 -2.223552316E-01
 5.729564428E-01 -2.266897112E-01
 5.728642941E-01 -2.267704457E-01
 5.679313540E-01 -2.310629040E-01
 5.678392053E-01 -2.311432809E-01
 5.629062057E-01 -2.354958206E-01
 5.628140569E-01 -2.355775535E-01
 5.578811169E-01 -2.402155548E-01
 5.577889681E-01 -2.403020263E-01
 5.528559685E-01 -2.446908802E-01
 5.527638197E-01 -2.447729856E-01
 5.478308201E-01 -2.491264492E-01
 5.477386713E-01 -2.492081970E-01
 5.428057313E-01 -2.537119091E-01
 5.427135825E-01 -2.537958622E-01
 5.377805829E-01 -2.584236860E-01
 5.376884341E-01 -2.585102320E-01
 5.327554941E-01 -2.631674707E-01
 5.326633453E-01 -2.632547319E-01
 5.277303457E-01 -2.679600716E-01
 5.276381969E-01 -2.680482268E-01
 5.227051973E-01 -2.727113664E-01
 5.226130486E-01 -2.727982402E-01
 5.176801085E-01 -2.775698900E-01
 5.175879598E-01 -2.776591778E-01
 5.126549602E-01 -2.824175358E-01
 5.125628114E-01 -2.825068831E-01
 5.076298118E-01 -2.871159911E-01
 5.075376630E-01 -2.872018516E-01
 5.026047230E-01 -2.921850085E-01
 5.025125742E-01 -2.922782004E-01
 4.975795448E-01 -2.973231673E-01
 4.974874258E-01 -2.974176109E-01
 4.925544262E-01 -3.024625480E-01
 4.924623072E-01 -3.025570810E-01
 4.875293076E-01 -3.076907694E-01
 4.874371886E-01 -3.077865243E-01
 4.825041890E-01 -3.128550053E-01
 4.824120700E-01 -3.129497170E-01
