1.783333333333333437e-01	5.315411409434496193e-01
2.349999999999999867e-01	5.257769942711707500e-01
2.916666666666666297e-01	5.185489373085481191e-01
3.483333333333332726e-01	5.096262748503050943e-01
4.050000000000000266e-01	4.989075749895022227e-01
4.616666666666666696e-01	4.862634627963515754e-01
5.183333333333333126e-01	4.713977038230563466e-01
5.749999999999999556e-01	4.543719901737830469e-01
6.316666666666665986e-01	4.345385742899132708e-01
6.883333333333333526e-01	4.119663378808624543e-01
7.449999999999999956e-01	3.860213329322768061e-01
8.016666666666666385e-01	3.565384184348019403e-01
8.583333333333332815e-01	3.220623008650989050e-01
9.150000000000000355e-01	2.983724438722852312e-01
9.716666666666666785e-01	2.940797559384265014e-01
