TITLE     = "Surface"
VARIABLES = "X"
"cp"
ZONE T="Slice: Y=0.178333"
 STRANDID=2, SOLUTIONTIME=664.516175
 I=797, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.000000000E+00 2.251200378E-01
 9.983835816E-01 2.237525433E-01
 9.949748516E-01 2.208692431E-01
 9.933584332E-01 2.156168222E-01
 9.899497628E-01 2.045375705E-01
 9.883333445E-01 2.004350871E-01
 9.849246144E-01 1.917847991E-01
 9.833081961E-01 1.881819963E-01
 9.798995256E-01 1.805860400E-01
 9.782831073E-01 1.772398055E-01
 9.748743773E-01 1.701822579E-01
 9.732579589E-01 1.670085639E-01
 9.698492289E-01 1.603160501E-01
 9.682328105E-01 1.573336273E-01
 9.648241401E-01 1.510434151E-01
 9.632077217E-01 1.481675953E-01
 9.597989917E-01 1.421029419E-01
 9.581825733E-01 1.393631846E-01
 9.547738433E-01 1.335848123E-01
 9.531574249E-01 1.309465617E-01
 9.497487545E-01 1.253812611E-01
 9.481323361E-01 1.228033677E-01
 9.447236061E-01 1.173675433E-01
 9.431071877E-01 1.148581058E-01
 9.396985173E-01 1.095639095E-01
 9.380820990E-01 1.071655080E-01
 9.346733689E-01 1.021084562E-01
 9.330569506E-01 9.973763674E-02
 9.296482205E-01 9.473454952E-02
 9.280318022E-01 9.238300472E-02
 9.246231318E-01 8.742481470E-02
 9.230067134E-01 8.520814031E-02
 9.195979834E-01 8.053112030E-02
 9.179815650E-01 7.834263891E-02
 9.145728350E-01 7.372676581E-02
 9.129564166E-01 7.159884274E-02
 9.095477462E-01 6.710956991E-02
 9.079313278E-01 6.507317722E-02
 9.045225978E-01 6.077766046E-02
 9.029061794E-01 5.874611065E-02
 8.994975090E-01 5.446042493E-02
 8.978810906E-01 5.248928443E-02
 8.944723606E-01 4.833139852E-02
 8.928559422E-01 4.641328380E-02
 8.894472122E-01 4.236704856E-02
 8.878307939E-01 4.042861983E-02
 8.844221234E-01 3.634037822E-02
 8.828057051E-01 3.449144959E-02
 8.793969750E-01 3.059037402E-02
 8.777805567E-01 2.876156010E-02
 8.743718863E-01 2.490436472E-02
 8.727554679E-01 2.308005281E-02
 8.693467379E-01 1.923031919E-02
 8.677303195E-01 1.748716645E-02
 8.643215895E-01 1.380944997E-02
 8.627051711E-01 1.207879931E-02
 8.592965007E-01 8.428022265E-03
 8.576800823E-01 6.706357468E-03
 8.542713523E-01 3.074729117E-03
 8.526549339E-01 1.439471380E-03
 8.492462039E-01 -2.011075849E-03
 8.476297855E-01 -3.722362686E-03
 8.442211151E-01 -7.331545930E-03
 8.426046968E-01 -9.001588449E-03
 8.391959667E-01 -1.252531074E-02
 8.375795484E-01 -1.413263753E-02
 8.341708779E-01 -1.752254553E-02
 8.325544596E-01 -1.919665746E-02
 8.291457295E-01 -2.272812277E-02
 8.275293112E-01 -2.427802980E-02
 8.241205812E-01 -2.754650824E-02
 8.225041628E-01 -2.909617685E-02
 8.190954924E-01 -3.236821666E-02
 8.174790740E-01 -3.389876336E-02
 8.140703440E-01 -3.712707013E-02
 8.124539256E-01 -3.858318180E-02
 8.090452552E-01 -4.165722430E-02
 8.074288368E-01 -4.318469763E-02
 8.040201068E-01 -4.640470818E-02
 8.024036884E-01 -4.796683043E-02
 7.989949584E-01 -5.126400292E-02
 7.973785400E-01 -5.276578665E-02
 7.939698696E-01 -5.593309179E-02
 7.923534513E-01 -5.736721307E-02
 7.889447212E-01 -6.039385125E-02
 7.873283029E-01 -6.187761948E-02
 7.839195728E-01 -6.500677764E-02
 7.823031545E-01 -6.647732854E-02
 7.788944840E-01 -6.958071142E-02
 7.772780657E-01 -7.106956840E-02
 7.738693357E-01 -7.421062142E-02
 7.722529173E-01 -7.567895949E-02
 7.688442469E-01 -7.877511531E-02
 7.672278285E-01 -8.012378216E-02
 7.638190985E-01 -8.297219127E-02
 7.622026801E-01 -8.443315327E-02
 7.587939501E-01 -8.751319349E-02
 7.571775317E-01 -8.899299055E-02
 7.537688613E-01 -9.211663157E-02
 7.521524429E-01 -9.353823215E-02
 7.487437129E-01 -9.653637558E-02
 7.471272945E-01 -9.793753922E-02
 7.437185645E-01 -1.008952260E-01
 7.421021461E-01 -1.023411602E-01
 7.386934757E-01 -1.053911299E-01
 7.370770574E-01 -1.067792475E-01
 7.336683273E-01 -1.097076759E-01
 7.320519090E-01 -1.111219972E-01
 7.286432385E-01 -1.141077429E-01
 7.270268202E-01 -1.154835522E-01
 7.236180902E-01 -1.183835268E-01
 7.220016718E-01 -1.197479218E-01
 7.185929418E-01 -1.226283982E-01
 7.169765234E-01 -1.240381896E-01
 7.135678530E-01 -1.270089895E-01
 7.119514346E-01 -1.284526139E-01
 7.085427046E-01 -1.315002441E-01
 7.069262862E-01 -1.329436600E-01
 7.035176158E-01 -1.359905452E-01
 7.019011974E-01 -1.374067217E-01
 6.984924674E-01 -1.403922141E-01
 6.968760490E-01 -1.417893171E-01
 6.934673190E-01 -1.447386891E-01
 6.918509007E-01 -1.460942775E-01
 6.884422302E-01 -1.489525288E-01
 6.868258119E-01 -1.503751129E-01
 6.834170818E-01 -1.533771455E-01
 6.818006635E-01 -1.547590494E-01
 6.783919334E-01 -1.576773673E-01
 6.767755151E-01 -1.591294855E-01
 6.733668447E-01 -1.621899903E-01
 6.717504263E-01 -1.636404693E-01
 6.683416963E-01 -1.667029262E-01
 6.667252779E-01 -1.681227982E-01
 6.633166075E-01 -1.711177230E-01
 6.617001891E-01 -1.725605279E-01
 6.582914591E-01 -1.756030768E-01
 6.566750407E-01 -1.770606190E-01
 6.532663107E-01 -1.801384389E-01
 6.516498923E-01 -1.815192550E-01
 6.482412219E-01 -1.844316870E-01
 6.466248035E-01 -1.859077215E-01
 6.432160735E-01 -1.890193522E-01
 6.415996552E-01 -1.904566437E-01
 6.381909251E-01 -1.934916228E-01
 6.365745068E-01 -1.949330717E-01
 6.331658363E-01 -1.979713142E-01
 6.315494180E-01 -1.994168758E-01
 6.281406879E-01 -2.024678141E-01
 6.265242696E-01 -2.039447725E-01
 6.231155992E-01 -2.070601583E-01
 6.214991808E-01 -2.085487694E-01
 6.180904508E-01 -2.116873264E-01
 6.164740324E-01 -2.131866366E-01
 6.130653024E-01 -2.163528353E-01
 6.114488840E-01 -2.178640068E-01
 6.080402136E-01 -2.210508287E-01
 6.064237952E-01 -2.225278765E-01
 6.030150652E-01 -2.256427854E-01
 6.013986468E-01 -2.271232456E-01
 5.979899764E-01 -2.302491516E-01
 5.963735580E-01 -2.317326814E-01
 5.929648280E-01 -2.348594815E-01
 5.913484097E-01 -2.364313751E-01
 5.879396796E-01 -2.397477478E-01
 5.863232613E-01 -2.413017452E-01
 5.829145908E-01 -2.445826679E-01
 5.812981725E-01 -2.461085320E-01
 5.778894424E-01 -2.493259460E-01
 5.762730241E-01 -2.508824766E-01
 5.728642941E-01 -2.541652024E-01
 5.712478757E-01 -2.557122409E-01
 5.678392053E-01 -2.589789629E-01
 5.662227869E-01 -2.605466843E-01
 5.628140569E-01 -2.638537586E-01
 5.611976385E-01 -2.655092180E-01
 5.577889681E-01 -2.689975500E-01
 5.561725497E-01 -2.705756724E-01
 5.527638197E-01 -2.739087641E-01
 5.511474013E-01 -2.754754722E-01
 5.477386713E-01 -2.787792683E-01
 5.461222529E-01 -2.803861499E-01
 5.427135825E-01 -2.837728560E-01
 5.410971642E-01 -2.854304910E-01
 5.376884341E-01 -2.889306545E-01
 5.360720158E-01 -2.905991971E-01
 5.326633453E-01 -2.941220701E-01
 5.310469270E-01 -2.958028018E-01
 5.276381969E-01 -2.993458807E-01
 5.260217786E-01 -3.010067046E-01
 5.226130486E-01 -3.045087457E-01
 5.209966302E-01 -3.062107563E-01
 5.175879598E-01 -3.098051548E-01
 5.159715414E-01 -3.115030825E-01
 5.125628114E-01 -3.150835931E-01
 5.109463930E-01 -3.167253733E-01
 5.075376630E-01 -3.201857209E-01
 5.059212446E-01 -3.219603896E-01
 5.025125742E-01 -3.257055581E-01
 5.008961558E-01 -3.274964988E-01
 4.974874258E-01 -3.312776983E-01
 4.958710074E-01 -3.330710530E-01
 4.924623072E-01 -3.368532062E-01
 4.908458889E-01 -3.386670947E-01
 4.874371886E-01 -3.424887359E-01
 4.858207703E-01 -3.442901075E-01
 4.824120700E-01 -3.480929434E-01
